국적,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
일  본,3023009,3289051,3518792,2747750,2280434,1837782,2297893,2311447,2948527,3271706,424786
중  국,1875157,2220196,2836892,4326869,6126865,5984170,8067722,4169353,4789512,6023021,616472
대  만,406352,428208,548233,544662,643683,518190,833465,925616,1115333,1260493,164565
필리핀,297452,337268,331346,400686,434951,403622,556745,448702,460168,503867,61223
홍  콩,228582,280849,360027,400435,558377,523427,650676,658031,683818,694934,88311
태  국,260718,309143,387441,372878,466783,371769,470107,498511,558912,571610,73421
말레이시아,113675,156281,178082,207727,244520,223350,311254,307641,382929,408590,47343
싱가포르,112855,124565,154073,174567,201105,160153,221548,216170,231897,246142,17013
인도네시아,95239,124474,149247,189189,208329,193590,295461,230837,249067,278575,44708
인  도,86547,92047,91700,123235,147736,153602,195911,123416,119791,143367,19099
베트남,90213,105531,106507,117070,141504,162765,251402,324740,457818,553731,73603
미얀마,57916,70168,67917,63470,59797,58936,68458,69906,71094,73722,14931
몽  골,41958,48004,61116,63740,60821,77918,79165,103916,113864,113599,20214
스리랑카,12517,15674,14148,15819,16325,17854,20789,17678,17901,18338,3754
파키스탄,9270,10121,9691,9371,9992,11628,12517,13101,14188,13721,3056
방글라데시,8899,9302,9243,10083,10700,11759,13172,14083,16151,17952,3213
아시아주 기타,28863,41247,62677,80519,96643,88840,118015,123457,132764,144485,23036
중 동,89292,104163,122191,130517,155219,168384,193593,217538,237715,252625,35332
우즈베키스탄,23711,31050,42246,44614,49214,56986,67314,75928,82984,88276,14055
터  키,16320,17298,19290,19698,22382,23166,26541,27272,29558,31293,4420
이스라엘,11993,11216,12244,11922,12298,12706,13322,13507,15328,17102,1261
이  란,8387,9532,6568,5342,6512,5706,8384,9468,6627,4294,397
카자흐스탄,7417,8421,11039,13158,21075,29188,34068,44487,52859,52966,8468
요르단,3137,3520,3521,2971,3123,2953,2721,2695,2693,2984,428
사우디아라비아,3875,6904,7970,10219,10093,9553,11121,11301,11553,14158,1478
이라크,2210,2090,2695,2788,2875,2367,2111,2447,2811,2823,326
중 동 기타,12242,14132,16618,19805,27647,25759,28011,30433,33302,38729,4499
미  국,652889,661503,697866,722315,770305,767613,866186,868881,967992,1044038,145133
캐나다,121214,122223,128431,133640,146429,145547,175745,176256,194259,205408,27304
브라질,12747,14639,15761,15739,15651,15569,17842,17846,19745,23788,3432
멕시코,7934,8359,10026,10953,13042,14049,15299,20071,25192,30481,4264
칠  레,2109,2828,3245,3299,3425,3782,4580,4219,5149,5944,944
아르헨티나,3196,2984,3316,3296,3388,3894,4403,4833,4832,5153,884
콜롬비아,2303,2674,3233,4088,4212,4564,5046,5153,5876,7384,824
페  루,2127,2424,2687,4615,3174,3868,6313,4213,4140,4745,699
베네수엘라,1620,1685,1857,2399,1893,2005,1888,1888,1961,1982,414
에콰도르,815,868,944,1110,1306,1547,1632,1810,2229,2628,337
쿠  바,85,221,80,190,138,271,251,202,187,315,29
미 주 기타,6821,6975,8703,13978,11058,11444,16972,11735,11230,13792,1707
러시아(연방),150730,154835,166721,175360,214366,188106,233973,270427,302542,343057,61350
독  일,98119,99467,102262,100803,100624,100182,110302,109860,115789,120730,16996
영  국,97510,104644,110172,120874,131080,123274,135139,126024,130977,143676,16961
프랑스,66192,69459,71140,75947,80518,83832,91562,92347,100096,110794,13088
네덜란드,22669,23279,25886,28916,30204,28366,33328,33638,37134,39138,6984
우크라이나,25373,31162,27782,24299,25788,25117,30824,27417,25608,27667,5612
이탈리아,25686,26442,28941,38715,48350,46147,63906,44080,46546,49344,5305
불가리아,7525,8103,7186,7880,8343,6905,10129,7197,6079,6536,785
스웨덴,13351,14228,15495,17711,17055,16749,17564,17258,19503,19709,1786
폴란드,11555,13451,13656,13300,14895,13867,16633,20662,21971,23913,3521
덴마크,7978,8435,8952,9595,11096,11803,11436,11408,12044,13453,1542
그리스,7975,8802,8600,8585,8281,9629,10914,9502,9290,9756,1933
스위스,10198,10414,12100,12725,12735,13386,14512,15189,18103,17847,1521
노르웨이,12821,13371,13958,18318,20591,18919,17607,15872,13615,11770,1215
스페인,12590,12884,15833,17513,19247,20177,23253,23305,27314,30656,3032
루마니아,8699,9780,10650,12259,13812,13225,17536,12697,11372,12781,1837
벨기에,7803,7793,8894,9267,9747,10609,11234,11591,12499,14539,1761
구 주 기타,58979,64476,69087,76118,81798,76145,92821,87583,93138,99890,14349
오스트레일리아,112409,122494,128812,123560,141208,133266,151979,150408,153133,173218,22028
뉴질랜드,26973,26608,29546,29105,30805,28426,31623,33088,34205,38954,5950
키리바시,1254,1605,2019,1769,936,1312,927,1038,871,852,130
피  지,4486,3856,4224,4326,3377,3246,3317,2973,3116,2832,85
대양주 기타,967,1091,1703,1287,1608,1814,2701,2050,2106,2135,164
남아프리카 공화국,9633,9833,10298,10560,11020,10189,13320,11053,11795,13144,2625
나이지리아,3032,3390,3453,3781,3219,3422,3335,3127,2555,3029,509
이집트,5138,5845,5753,6585,7270,7466,8406,8020,7630,5833,889
아프리카주 기타,15953,17911,21732,22488,22544,23448,32265,27116,31739,38253,6119
기 타,319686,327463,329701,309695,293194,270732,277227,269578,251868,193114,20508
교포,319494,327260,329558,309495,292589,270193,276538,268854,251073,192502,20386
미상,192,203,143,200,605,539,689,724,795,612,122
